n,W,b,Tiempo,Metodo,nodo
3500,8200,4593,21.0073,Dinamica,565
4700,1300,5685,38.2957,Dinamica,1128
9900,300,6281,472.347,Dinamica,101
700,7500,2408,0.853249,Dinamica,515
9000,7300,8292,326.31,Dinamica,236
7300,1700,6967,96.8353,Dinamica,432
8300,5400,7581,131.171,Dinamica,1368
5500,4400,6335,54.0244,Dinamica,1415
3200,50,3288,22.5932,Dinamica,44
900,9100,2172,2.04536,Dinamica,354
600,6400,2070,1.43495,Dinamica,1505
9700,8500,7545,431.467,Dinamica,1644
5000,9500,5474,44.7197,Dinamica,608
1300,8100,3208,3.52986,Dinamica,171
9400,6400,7788,394.304,Dinamica,742
4800,4300,5419,41.5706,Dinamica,290
5200,5000,5706,47.2153,Dinamica,92
400,9000,1607,0.35841,Dinamica,150
7200,5700,7393,101.533,Dinamica,118
3100,3600,4200,17.841,Dinamica,853
1800,3800,3543,6.57319,Dinamica,1537
7100,5300,6909,92.3911,Dinamica,383
7800,6300,7092,108.107,Dinamica,344
4600,4200,5531,40.1348,Dinamica,1487
7000,5900,6943,88.091,Dinamica,637
8700,6200,7396,288.119,Dinamica,868
5700,2200,6228,62.5536,Dinamica,2149
4900,7900,6165,44.6491,Dinamica,467
9000,6900,7675,320.599,Dinamica,2630
2700,900,4497,14.9064,Dinamica,206
8500,2900,7089,255.302,Dinamica,1652
3700,3600,5191,23.2334,Dinamica,1054
8600,5000,7577,277.38,Dinamica,2277
4600,5200,5298,38.2102,Dinamica,86
7400,7000,6997,99.1057,Dinamica,123
8900,4600,7871,318.741,Dinamica,781
8300,2900,7521,131.158,Dinamica,788
7700,7100,7456,114.009,Dinamica,1625
1500,1700,3114,5.0101,Dinamica,762
9100,1100,7809,327.112,Dinamica,1640
6900,8700,7177,85.6635,Dinamica,949
2700,2900,4020,12.5553,Dinamica,550
7500,5000,7459,101.152,Dinamica,390
7900,6700,6919,116.932,Dinamica,4097
1200,900,2924,3.13032,Dinamica,42
6100,6200,6071,66.3904,Dinamica,1771
5500,2900,6659,55.3187,Dinamica,1842
9400,6200,7959,395.738,Dinamica,1840
10000,7100,7409,478.012,Dinamica,196
7600,8900,6731,107.974,Dinamica,353
2100,8000,4390,6.55456,Dinamica,1379
4200,3800,5517,30.2357,Dinamica,904
6800,3100,6570,86.6493,Dinamica,850
1900,3500,3257,5.09176,Dinamica,349
2500,4000,4266,10.9233,Dinamica,522
7100,9100,6778,93.768,Dinamica,3108
3800,8400,5516,25.8689,Dinamica,1284
2500,4300,4294,10.0893,Dinamica,653
2800,400,4282,14.6472,Dinamica,72
1800,2700,4050,4.50414,Dinamica,567
2900,3100,4167,14.4374,Dinamica,157
2800,6800,3995,14.1877,Dinamica,463
200,1900,1042,0.21242,Dinamica,237
4900,2400,5606,42.6065,Dinamica,1079
900,6000,2579,3.50487,Dinamica,583
800,6600,2318,1.9167,Dinamica,444
1900,5200,3515,9.40994,Dinamica,1594
5500,8500,6002,52.1419,Dinamica,93
7100,5000,7104,91.6149,Dinamica,804
7500,2000,7510,101.646,Dinamica,267
3100,5700,4661,21.8669,Dinamica,601
700,5600,2317,1.47615,Dinamica,262
2000,5100,3631,7.86132,Dinamica,308
6300,4400,6618,72.3468,Dinamica,958
8800,2000,8553,295.549,Dinamica,127
200,10000,1054,0.189875,Dinamica,167
6400,2800,6336,75.0683,Dinamica,2549
1400,5300,2528,4.29495,Dinamica,477
600,9900,1978,1.11267,Dinamica,576
2300,5300,3404,12.0677,Dinamica,255
4200,4300,5497,33.7819,Dinamica,745
8300,7100,6649,130.247,Dinamica,1087
6100,7800,6443,67.0741,Dinamica,2420
1800,6200,3754,4.33035,Dinamica,710
8300,8300,8515,127.673,Dinamica,394
7700,6300,7288,113.245,Dinamica,1066
800,9700,2281,1.53028,Dinamica,160
6400,4600,5960,75.9679,Dinamica,90
8000,9100,7332,112.716,Dinamica,541
9200,8800,7993,357.398,Dinamica,1760
300,10000,1430,0.483533,Dinamica,537
900,7900,2070,2.65001,Dinamica,387
6100,3600,6441,68.1133,Dinamica,2414
7900,1900,7090,114.3,Dinamica,242
3900,2600,6059,31.3207,Dinamica,927
500,10000,1587,0.75267,Dinamica,523
3600,5700,5038,27.7049,Dinamica,1571
900,2800,2601,2.22446,Dinamica,671
8200,9600,7385,126.251,Dinamica,113
7100,1400,7157,96.9633,Dinamica,123
1500,9900,3439,5.02283,Dinamica,625
1400,9800,3561,3.42928,Dinamica,972
7000,2200,6663,89.04,Dinamica,1437
2800,3600,4174,16.6379,Dinamica,892
8700,3200,7156,283.805,Dinamica,3580
4100,5800,4937,31.0459,Dinamica,881
300,800,1587,0.366251,Dinamica,48
6600,9500,7037,80.2396,Dinamica,590
1800,8800,3275,8.91888,Dinamica,2789
1800,3400,3354,7.617,Dinamica,49
1600,9100,3660,3.24966,Dinamica,180
1700,5200,4119,6.6119,Dinamica,62
8300,9400,7353,128.376,Dinamica,2436
3400,7500,4704,20.1427,Dinamica,1598
800,6000,2084,1.66651,Dinamica,420
4600,1800,6490,38.3114,Dinamica,293
1000,4100,2443,2.062,Dinamica,643
5800,9400,6112,60.4459,Dinamica,1184
6000,9200,5520,67.2689,Dinamica,1791
9900,2100,7866,472.998,Dinamica,116
800,5900,2171,1.47955,Dinamica,784
3200,3600,4662,20.7199,Dinamica,621
5400,2300,5668,49.427,Dinamica,1919
9600,4600,7434,403.677,Dinamica,240
6400,8200,6357,74.5688,Dinamica,504
4400,9100,5172,33.6809,Dinamica,488
50,3500,527,0.030075,Dinamica,143
4200,5300,5246,32.2648,Dinamica,1427
9300,8300,6931,362.782,Dinamica,2004
6200,7000,6783,72.2882,Dinamica,5702
5400,8700,6095,51.6998,Dinamica,1476
7100,100,5455,90.2232,Dinamica,76
700,1100,1764,1.42841,Dinamica,28
4800,3800,5622,39.7332,Dinamica,334
6400,7300,6353,75.287,Dinamica,191
2000,2000,3642,6.60645,Dinamica,2054
8200,4200,6726,124.239,Dinamica,2409
4100,9900,5770,32.9078,Dinamica,2419
7800,50,4381,107.277,Dinamica,50
2900,800,4271,14.7467,Dinamica,610
7300,7100,6954,95.0141,Dinamica,1013
6200,800,6421,69.7506,Dinamica,317
5400,3600,5798,51.8124,Dinamica,1034
7900,9700,7104,114.318,Dinamica,537
100,2900,1088,0.105837,Dinamica,97
700,4700,2372,2.19773,Dinamica,125
5700,1600,6654,58.2062,Dinamica,588
9600,3500,7640,405.7,Dinamica,3932
5600,8800,6366,59.4822,Dinamica,101
7800,3900,7512,109.21,Dinamica,108
8100,9400,7314,118.531,Dinamica,799
1800,5000,3729,4.31317,Dinamica,54
7100,4700,6471,91.1756,Dinamica,1800
2100,1900,4112,8.56438,Dinamica,450
9000,7600,8104,323.523,Dinamica,309
100,7500,1182,0.086525,Dinamica,79
900,5300,2617,1.99639,Dinamica,232
3300,3000,4626,18.4374,Dinamica,125
3100,6300,4818,22.6963,Dinamica,902
4400,2900,5521,35.4092,Dinamica,1220
8000,8400,6981,112.653,Dinamica,1567
4200,7100,5531,34.8676,Dinamica,2336
2100,3900,3737,8.50209,Dinamica,227
1900,300,3397,7.21418,Dinamica,346
4000,3400,4912,28.5554,Dinamica,1602
6600,4300,7178,78.1337,Dinamica,1130
3900,7000,4820,26.1095,Dinamica,167
9900,4100,8990,474.712,Dinamica,223
5900,6700,5897,64.9891,Dinamica,875
1700,8700,2855,6.10781,Dinamica,1133
1500,7700,3212,4.11252,Dinamica,194
6400,7500,6266,73.2887,Dinamica,218
5200,6700,5629,49.6527,Dinamica,99
7100,4500,6722,88.6521,Dinamica,389
8000,1600,7026,118.649,Dinamica,1652
6600,5600,5635,80.6351,Dinamica,106
4100,3800,5312,34.0501,Dinamica,1508
4700,7500,5543,41.7628,Dinamica,508
7200,8200,6958,105.509,Dinamica,570
8000,7000,6899,116.025,Dinamica,947
4500,10000,5746,37.19,Dinamica,932
8000,7200,6991,114.04,Dinamica,620
