n,W,b,Tiempo,Metodo
8000,22000,6648,814.916,Dinamica_Top_Down
9000,22000,6562,915.37,Dinamica_Top_Down
1000,23000,2683,106.58,Dinamica_Top_Down
2000,23000,3924,212.585,Dinamica_Top_Down
3000,23000,5032,283.826,Dinamica_Top_Down
4000,23000,5466,371.724,Dinamica_Top_Down
5000,23000,5587,461.769,Dinamica_Top_Down
6000,23000,6373,552.702,Dinamica_Top_Down
7000,23000,6835,644.9,Dinamica_Top_Down
8000,23000,7470,738.982,Dinamica_Top_Down
9000,23000,8018,847.634,Dinamica_Top_Down
1000,24000,2365,111.634,Dinamica_Top_Down
2000,24000,3504,222.264,Dinamica_Top_Down
3000,24000,4620,334.611,Dinamica_Top_Down
4000,24000,4866,444.507,Dinamica_Top_Down
5000,24000,5761,562.455,Dinamica_Top_Down
6000,24000,5989,665.99,Dinamica_Top_Down
7000,24000,6974,781.725,Dinamica_Top_Down
8000,24000,6928,828.026,Dinamica_Top_Down
9000,24000,7422,880.321,Dinamica_Top_Down
1000,25000,2206,100.945,Dinamica_Top_Down
2000,25000,3429,200.47,Dinamica_Top_Down
3000,25000,4490,302.16,Dinamica_Top_Down
4000,25000,5084,403.451,Dinamica_Top_Down
5000,25000,4968,503.632,Dinamica_Top_Down
6000,25000,6977,603.141,Dinamica_Top_Down
7000,25000,6950,763.842,Dinamica_Top_Down
8000,25000,7682,928.115,Dinamica_Top_Down
9000,25000,7630,1039.4,Dinamica_Top_Down
1000,26000,2729,120.609,Dinamica_Top_Down
2000,26000,3665,241.961,Dinamica_Top_Down
3000,26000,4110,361.835,Dinamica_Top_Down
4000,26000,4895,482.832,Dinamica_Top_Down
5000,26000,5865,533.202,Dinamica_Top_Down
6000,26000,6266,626.848,Dinamica_Top_Down
7000,26000,6882,732.265,Dinamica_Top_Down
8000,26000,7426,839.879,Dinamica_Top_Down
9000,26000,8240,939.004,Dinamica_Top_Down
1000,27000,2190,110.784,Dinamica_Top_Down
2000,27000,3702,246.906,Dinamica_Top_Down
