n,W,b,Tiempo,Metodo,Nodos
113,100,669,208.635,Backtracking_fact,16116323
114,100,758,808.005,Backtracking_fact,80358675
115,100,678,108.978,Backtracking_fact,10583468
116,100,798,2792.01,Backtracking_fact,254403723
117,100,788,129.095,Backtracking_fact,12827707
118,100,755,491.138,Backtracking_fact,51328177
119,100,1058,3224.26,Backtracking_fact,333648827
120,100,779,319.186,Backtracking_fact,32006121
121,100,674,271.806,Backtracking_fact,28469121
122,100,929,1397.82,Backtracking_fact,117570559
123,100,997,1179.96,Backtracking_fact,92149887
124,100,759,302.674,Backtracking_fact,25253221
125,100,1065,23204.3,Backtracking_fact,2049269093
126,100,829,4318.82,Backtracking_fact,360089564
127,100,1064,16397.5,Backtracking_fact,1320306243
128,100,808,949.849,Backtracking_fact,86016706
129,100,766,98.3591,Backtracking_fact,9243267
130,100,722,181.976,Backtracking_fact,17165227
131,100,610,76.8457,Backtracking_fact,6285878
132,100,725,202.649,Backtracking_fact,18754365
133,100,880,1167.2,Backtracking_fact,94640602
134,100,1050,7158.53,Backtracking_fact,578979499
135,100,1255,5545.16,Backtracking_fact,456155049
136,100,985,2207.12,Backtracking_fact,165805036
137,100,882,4387.05,Backtracking_fact,344452954
138,100,800,10265.4,Backtracking_fact,771590179
139,100,890,237.025,Backtracking_fact,18062817
140,100,912,2676.9,Backtracking_fact,221589743
141,100,1085,17448.6,Backtracking_fact,1430626553
142,100,833,1363.17,Backtracking_fact,109635067
143,100,1012,3553.82,Backtracking_fact,285811488
144,100,766,1420.93,Backtracking_fact,113199761
145,100,832,1620.63,Backtracking_fact,131844111
146,100,1094,12846,Backtracking_fact,1040241823
147,100,1024,20744.9,Backtracking_fact,1689497390
148,100,820,831.569,Backtracking_fact,68013103
149,100,1100,16406.7,Backtracking_fact,1358642935
150,100,829,8287.33,Backtracking_fact,679266062
151,100,1054,16033.8,Backtracking_fact,1260594689
152,100,876,1223.59,Backtracking_fact,96434742
153,100,953,3035.32,Backtracking_fact,248101816
154,100,986,4454.21,Backtracking_fact,351573247
155,100,1008,14746.1,Backtracking_fact,1248835996
156,100,1014,11972.6,Backtracking_fact,937607407
157,100,1054,63820.8,Backtracking_fact,886117731
158,100,1021,3530.88,Backtracking_fact,391880559
159,100,864,860.774,Backtracking_fact,93216053
2,100,118,0.014879,Backtracking_fact,7
3,100,131,0.014817,Backtracking_fact,11
4,100,117,0.011089,Backtracking_fact,20
5,100,118,0.010803,Backtracking_fact,19
6,100,106,0.015816,Backtracking_fact,15
7,100,245,0.011825,Backtracking_fact,55
8,100,232,0.017115,Backtracking_fact,94
9,100,250,0.015649,Backtracking_fact,171
10,100,150,0.020856,Backtracking_fact,41
11,100,262,0.026027,Backtracking_fact,221
12,100,186,0.019209,Backtracking_fact,101
13,100,272,0.012363,Backtracking_fact,120
14,100,299,0.025303,Backtracking_fact,349
15,100,296,0.019492,Backtracking_fact,535
16,100,310,0.030678,Backtracking_fact,492
17,100,380,0.071465,Backtracking_fact,1322
18,100,318,0.036772,Backtracking_fact,1635
19,100,396,0.041664,Backtracking_fact,2183
20,100,300,0.028694,Backtracking_fact,1076
21,100,356,0.036369,Backtracking_fact,1026
22,100,381,0.039636,Backtracking_fact,1231
23,100,270,0.029377,Backtracking_fact,1225
24,100,290,0.046269,Backtracking_fact,712
25,100,325,0.036059,Backtracking_fact,986
26,100,476,0.055127,Backtracking_fact,3855
27,100,302,0.117654,Backtracking_fact,2352
28,100,656,0.14547,Backtracking_fact,8615
29,100,338,0.073253,Backtracking_fact,3096
30,100,387,0.076922,Backtracking_fact,5164
31,100,533,0.260331,Backtracking_fact,13707
32,100,349,0.16726,Backtracking_fact,10793
33,100,449,0.391926,Backtracking_fact,33696
34,100,331,0.047139,Backtracking_fact,1804
35,100,614,0.759168,Backtracking_fact,36424
36,100,377,0.047517,Backtracking_fact,2830
37,100,359,0.117406,Backtracking_fact,8735
38,100,458,0.614799,Backtracking_fact,27659
39,100,602,1.28618,Backtracking_fact,76684
40,100,440,0.339435,Backtracking_fact,19343
41,100,557,2.09369,Backtracking_fact,126251
42,100,548,0.624055,Backtracking_fact,45410
43,100,362,0.126629,Backtracking_fact,6720
44,100,580,1.59745,Backtracking_fact,115591
45,100,485,0.501729,Backtracking_fact,32543
46,100,546,1.67423,Backtracking_fact,157198
47,100,587,6.10663,Backtracking_fact,345763
48,100,573,0.972981,Backtracking_fact,42208
49,100,711,5.78095,Backtracking_fact,367663
50,100,349,0.369459,Backtracking_fact,31301
51,100,331,0.180219,Backtracking_fact,7662
52,100,473,0.940053,Backtracking_fact,50414
53,100,827,8.33569,Backtracking_fact,586340
54,100,619,1.69052,Backtracking_fact,93745
55,100,373,1.71512,Backtracking_fact,119743
56,100,612,1.80343,Backtracking_fact,188401
57,100,616,4.33082,Backtracking_fact,210165
58,100,708,3.60637,Backtracking_fact,318634
59,100,949,37.9,Backtracking_fact,3371229
60,100,553,4.92498,Backtracking_fact,189353
61,100,510,1.43777,Backtracking_fact,91329
62,100,492,1.23492,Backtracking_fact,117890
63,100,474,2.26411,Backtracking_fact,154016
64,100,621,2.89072,Backtracking_fact,210032
65,100,643,23.3815,Backtracking_fact,1872788
66,100,546,0.810311,Backtracking_fact,70999
67,100,863,30.0686,Backtracking_fact,2943199
68,100,596,4.66738,Backtracking_fact,259139
69,100,663,5.46604,Backtracking_fact,306992
70,100,700,14.3771,Backtracking_fact,899911
71,100,834,37.8596,Backtracking_fact,3023354
72,100,635,2.39067,Backtracking_fact,114261
73,100,649,5.45564,Backtracking_fact,521381
74,100,945,140.143,Backtracking_fact,12610880
75,100,731,26.747,Backtracking_fact,2622314
76,100,676,5.43873,Backtracking_fact,431392
77,100,638,12.7804,Backtracking_fact,812252
78,100,786,20.253,Backtracking_fact,1978063
