n,W,b,Tiempo,Metodo
9000,3000,7090,639.91,Dinamica
9000,3000,7739,639.883,Dinamica
1000,4000,2290,62.0872,Dinamica
1000,4000,2554,62.7155,Dinamica
1000,4000,2521,65.7374,Dinamica
1000,4000,2540,60.9349,Dinamica
1000,4000,2663,60.9889,Dinamica
1000,4000,2327,63.7727,Dinamica
1000,4000,2280,61.9756,Dinamica
1000,4000,2786,61.4851,Dinamica
1000,4000,2570,61.2121,Dinamica
1000,4000,1976,60.2749,Dinamica
2000,4000,4016,147.995,Dinamica
2000,4000,3322,142.97,Dinamica
2000,4000,3365,142.616,Dinamica
2000,4000,4642,144.846,Dinamica
2000,4000,3784,138.228,Dinamica
2000,4000,3399,146.165,Dinamica
2000,4000,3828,137.295,Dinamica
2000,4000,3492,136.757,Dinamica
2000,4000,3965,139.375,Dinamica
2000,4000,3134,141.58,Dinamica
3000,4000,4259,245.695,Dinamica
3000,4000,4335,233.82,Dinamica
3000,4000,3740,245.9,Dinamica
3000,4000,4565,251.061,Dinamica
3000,4000,4684,224.413,Dinamica
3000,4000,4452,239.745,Dinamica
3000,4000,4844,245.158,Dinamica
3000,4000,4838,235.31,Dinamica
3000,4000,4553,246.201,Dinamica
3000,4000,4541,241.659,Dinamica
4000,4000,5264,342.554,Dinamica
4000,4000,5063,339.983,Dinamica
4000,4000,4875,330.867,Dinamica
4000,4000,5002,343.672,Dinamica
4000,4000,5246,314.292,Dinamica
4000,4000,5405,321.599,Dinamica
4000,4000,5180,322.375,Dinamica
4000,4000,5350,343.765,Dinamica
4000,4000,5278,326.847,Dinamica
4000,4000,5515,335.072,Dinamica
5000,4000,5401,450.727,Dinamica
5000,4000,5694,451.406,Dinamica
5000,4000,5391,446.365,Dinamica
5000,4000,5497,465.601,Dinamica
5000,4000,6343,442.661,Dinamica
5000,4000,4813,437.793,Dinamica
5000,4000,5312,446.71,Dinamica
5000,4000,5072,413.213,Dinamica
5000,4000,5776,444.414,Dinamica
5000,4000,5960,439.376,Dinamica
6000,4000,6292,553.671,Dinamica
6000,4000,6211,558.736,Dinamica
6000,4000,6247,544.831,Dinamica
6000,4000,5840,524.682,Dinamica
6000,4000,7100,558.958,Dinamica
6000,4000,6378,538.943,Dinamica
6000,4000,6216,528.223,Dinamica
6000,4000,6337,529.317,Dinamica
6000,4000,6337,531.096,Dinamica
6000,4000,5696,556.293,Dinamica
7000,4000,6612,631.242,Dinamica
7000,4000,6104,629.614,Dinamica
7000,4000,7111,649.529,Dinamica
7000,4000,7670,637.463,Dinamica
7000,4000,6447,616.625,Dinamica
7000,4000,7091,634.134,Dinamica
7000,4000,6995,636.287,Dinamica
7000,4000,6650,645.806,Dinamica
7000,4000,6716,631.115,Dinamica
7000,4000,6750,626.3,Dinamica
8000,4000,7437,751.998,Dinamica
8000,4000,7471,735.933,Dinamica
8000,4000,7245,739.356,Dinamica
8000,4000,6945,746.616,Dinamica
8000,4000,7695,748.84,Dinamica
8000,4000,6895,732.282,Dinamica
8000,4000,7081,746.061,Dinamica
8000,4000,8058,763.755,Dinamica
8000,4000,7450,753.46,Dinamica
8000,4000,7566,777.606,Dinamica
9000,4000,6898,845.174,Dinamica
9000,4000,7492,854.474,Dinamica
9000,4000,7421,852.027,Dinamica
9000,4000,7741,842.686,Dinamica
